,message,target,source,short
742,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,yelp,sure long stand long begin feel awkwardly place
743,"When I opened the sandwich, I was impressed, but not in a good way.",0,yelp,open sandwich impressed good way
744,Will not be back!,0,yelp,
745,There was a warm feeling with the service and I felt like their guest for a special treat.,1,yelp,warm feeling service feel like guest special treat
746,An extensive menu provides lots of options for breakfast.,1,yelp,extensive menu provide lot option breakfast
747,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,yelp,order vegetarian menu dinner wide array option choose
748,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,yelp,watch price inflate portion small management attitude grow rapidly
749,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,yelp,wonderful lil tapa ambience feel warm fuzzy inside
750,"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,yelp,get enjoy seafood salad fabulous vinegrette
751,"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,yelp,wonton thin thick chewy melt mouth
752,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,yelp,level spicy perfect spice whelm soup
753,We were sat right on time and our server from the get go was FANTASTIC!,1,yelp,sit right time server fantastic
754,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,yelp,main thing enjoy crowd old crowd mid 30
755,"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,yelp,town definitely spot hit
756,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,yelp,wait minute drink long arepa
757,This is a GREAT place to eat!,1,yelp,great place eat
758,The jalapeno bacon is soooo good.,1,yelp,jalapeno bacon soooo good
759,The service was poor and thats being nice.,0,yelp,service poor s nice
760,"Food was good, service was good, Prices were good.",1,yelp,food good service good price good
761,The place was not clean and the food oh so stale!,0,yelp,place clean food oh stale
762,"The chicken dishes are OK, the beef is like shoe leather.",0,yelp,chicken dish ok beef like shoe leather
763,But the service was beyond bad.,0,yelp,service bad
764,I'm so happy to be here!!!,1,yelp,happy
765,Tasted like dirt.,0,yelp,taste like dirt
766,One of the few places in Phoenix that I would definately go back to again .,1,yelp,place Phoenix definately
767,The block was amazing.,1,yelp,block amazing
768,"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,yelp,close house low key non fancy affordable price good food
769,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,yelp,hot sour egg flower soups absolutely star
770,My sashimi was poor quality being soggy and tasteless.,0,yelp,sashimi poor quality soggy tasteless
771,Great time - family dinner on a Sunday night.,1,yelp,great time family dinner Sunday night
772,"the food is not tasty at all, not to say its real traditional Hunan style.",0,yelp,food tasty real traditional Hunan style
773,"What did bother me, was the slow service.",0,yelp,bother slow service
774,The flair bartenders are absolutely amazing!,1,yelp,flair bartender absolutely amazing
775,Their frozen margaritas are WAY too sugary for my taste.,0,yelp,frozen margarita WAY sugary taste
776,These were so good we ordered them twice.,1,yelp,good order twice
777,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,yelp,nutshell restaraunt smell like combination dirty fish market sewer
778,My girlfriend's veal was very bad.,0,yelp,girlfriend veal bad
779,"Unfortunately, it was not good.",0,yelp,unfortunately good
780,I had a pretty satifying experience.,1,yelp,pretty satifying experience
781,Join the club and get awesome offers via email.,1,yelp,join club awesome offer email
782,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,yelp,perfect like beer ice cold case cold
783,Bland and flavorless is a good way of describing the barely tepid meat.,0,yelp,bland flavorless good way describe barely tepid meat
784,"The chains, which I'm no fan of, beat this place easily.",0,yelp,chain fan beat place easily
785,The nachos are a MUST HAVE!,1,yelp,nacho
786,We will not be coming back.,0,yelp,come
787,"I don't have very many words to say about this place, but it does everything pretty well.",1,yelp,word place pretty
788,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,yelp,staff super nice quick crazy crowd downtown jury lawyer court staff
789,"Great atmosphere, friendly and fast service.",1,yelp,great atmosphere friendly fast service
790,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,yelp,receive Pita huge lot meat thumb
791,Once your food arrives it's meh.,0,yelp,food arrive meh
792,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,yelp,pay $ 7.85 hot dog fry look like come kid meal Wienerschnitzel idea good meal
793,The classic Maine Lobster Roll was fantastic.,1,yelp,classic Maine lobster roll fantastic
794,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,yelp,brother law work mall eat day guess sick night
795,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,yelp,good go review place twice herea tribute place tribute event hold night
796,"The chips and salsa were really good, the salsa was very fresh.",1,yelp,chip salsa good salsa fresh
797,This place is great!!!!!!!!!!!!!!,1,yelp,place great
798,Mediocre food.,0,yelp,mediocre food
799,Once you get inside you'll be impressed with the place.,1,yelp,inside impressed place
800,I'm super pissd.,0,yelp,super pissd
801,And service was super friendly.,1,yelp,service super friendly
802,Why are these sad little vegetables so overcooked?,0,yelp,sad little vegetable overcooked
803,This place was such a nice surprise!,1,yelp,place nice surprise
804,They were golden-crispy and delicious.,1,yelp,golden crispy delicious
805,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,yelp,high hope place burger cook charcoal grill unfortunately taste fall flat way flat
806,I could eat their bruschetta all day it is devine.,1,yelp,eat bruschetta day devine
807,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,yelp,single employee come ok need water refill finally serve food
808,"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,yelp,lastly mozzarella stick good thing order
809,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,yelp,time come amazing experience tell people awesome duck
810,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,yelp,server negligent need feel unwelcome suggest place
811,The service was terrible though.,0,yelp,service terrible
812,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,yelp,place overprice consistent boba overpriced
813,It was packed!!,0,yelp,pack
814,I love this place.,1,yelp,love place
815,I can say that the desserts were yummy.,1,yelp,dessert yummy
816,The food was terrible.,0,yelp,food terrible
817,The seasonal fruit was fresh white peach puree.,1,yelp,seasonal fruit fresh white peach puree
818,It kept getting worse and worse so now I'm officially done.,0,yelp,keep get bad bad officially
819,This place should honestly be blown up.,0,yelp,place honestly blow
820,But I definitely would not eat here again.,0,yelp,definitely eat
821,Do not waste your money here!,0,yelp,waste money
822,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,yelp,love food nice plastic container oppose cram little paper takeout box
823,The crêpe was delicate and thin and moist.,1,yelp,crêpe delicate thin moist
824,Awful service.,0,yelp,awful service
825,Won't ever go here again.,0,yelp,will
826,Food quality has been horrible.,0,yelp,food quality horrible
827,For that price I can think of a few place I would have much rather gone.,0,yelp,price think place go
828,The service here is fair at best.,0,yelp,service fair good
829,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,yelp,love sushi find Kabuki price hip service
830,Do yourself a favor and stay away from this dish.,0,yelp,favor stay away dish
831,Very poor service.,0,yelp,poor service
832,No one at the table thought the food was above average or worth the wait that we had for it.,0,yelp,table think food average worth wait
833,"Best service and food ever, Maria our server was so good and friendly she made our day.",1,yelp,good service food Maria server good friendly day
834,They were excellent.,1,yelp,excellent
835,I paid the bill but did not tip because I felt the server did a terrible job.,0,yelp,pay bill tip feel server terrible job
836,Just had lunch here and had a great experience.,1,yelp,lunch great experience
837,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,yelp,bland food surprise consider article read focus spice flavor
838,Food is way overpriced and portions are fucking small.,0,yelp,food way overprice portion fuck small
839,I recently tried Caballero's and I have been back every week since!,1,yelp,recently try Caballero week
840,"for 40 bucks a head, i really expect better food.",0,yelp,buck head expect well food
841,The food came out at a good pace.,1,yelp,food come good pace
842,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,yelp,eat twice visit especially enjoy salmon salad
843,I won't be back.,0,yelp,will
844,We could not believe how dirty the oysters were!,0,yelp,believe dirty oyster
845,This place deserves no stars.,0,yelp,place deserve star
846,I would not recommend this place.,0,yelp,recommend place
847,"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,yelp,fact go round star awesome
848,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,yelp,disbelief dish qualify bad version food taste
849,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,yelp,bad day low tolerance rude customer service people job nice polite wash dish
850,the potatoes were great and so was the biscuit.,1,yelp,potato great biscuit
851,I probably would not go here again.,0,yelp,probably
852,So flavorful and has just the perfect amount of heat.,1,yelp,flavorful perfect heat
853,The price is reasonable and the service is great.,1,yelp,price reasonable service great
854,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,yelp,wife hate meal coconut shrimp friend enjoy meal
855,My fella got the huevos rancheros and they didn't look too appealing.,0,yelp,fella get huevos ranchero look appealing
856,"Went in for happy hour, great list of wines.",1,yelp,go happy hour great list wine
857,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,yelp,buffet pricey think pay place get lot
858,I probably won't be coming back here.,0,yelp,probably will come
859,Worst food/service I've had in a while.,0,yelp,bad food service
860,"This place is pretty good, nice little vibe in the restaurant.",1,yelp,place pretty good nice little vibe restaurant
861,Talk about great customer service of course we will be back.,1,yelp,talk great customer service course
862,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,yelp,hot dish hot cold dish close room temp watch staff prepare food bare hands glove deep fry oil
863,I love their fries and their beans.,1,yelp,love fry bean
864,Always a pleasure dealing with him.,1,yelp,pleasure deal
865,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1,yelp,plethora salad sandwich try get seal approval
866,This place is awesome if you want something light and healthy during the summer.,1,yelp,place awesome want light healthy summer
867,"For sushi on the Strip, this is the place to go.",1,yelp,sushi Strip place
868,"The service was great, even the manager came and helped with our table.",1,yelp,service great manager come help table
869,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,yelp,feel dining room college cooking course high class dining service slow good
870,"I started this review with two stars, but I'm editing it to give it only one.",0,yelp,start review star edit
871,this is the worst sushi i have ever eat besides Costco's.,0,yelp,bad sushi eat Costco
872,"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1,yelp,excellent restaurant highlight great service unique menu beautiful setting
873,My boyfriend and i sat at the bar and had a completely delightful experience.,1,yelp,boyfriend sit bar completely delightful experience
874,Weird vibe from owners.,0,yelp,weird vibe owner
875,There was hardly any meat.,0,yelp,hardly meat
876,I've had better bagels from the grocery store.,0,yelp,well bagel grocery store
877,Go To Place for Gyros.,1,yelp,place gyros
878,"I love the owner/chef, his one authentic Japanese cool dude!",1,yelp,love owner chef authentic Japanese cool dude
879,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,yelp,burger good pizza amazing doughy flavorless
880,I found a six inch long piece of wire in my salsa.,0,yelp,find inch long piece wire salsa
881,"The service was terrible, food was mediocre.",0,yelp,service terrible food mediocre
882,We definately enjoyed ourselves.,1,yelp,definately enjoy
883,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,yelp,order Albondigas soup warm taste like tomato soup frozen meatball
884,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,yelp,different occasion ask medium time get bloody piece meat plate
885,I had about two bites and refused to eat anymore.,0,yelp,bite refuse eat anymore
886,The service was extremely slow.,0,yelp,service extremely slow
887,"After 20 minutes wait, I got a table.",0,yelp,minute wait get table
888,Seriously killer hot chai latte.,1,yelp,seriously killer hot chai latte
889,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,yelp,allergy warning menu waitress absolutely clue meal contain peanut
890,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,yelp,boyfriend try mediterranean chicken salad fall love
891,Their rotating beers on tap is also a highlight of this place.,1,yelp,rotate beer tap highlight place
892,Pricing is a bit of a concern at Mellow Mushroom.,0,yelp,pricing bit concern mellow mushroom
893,Worst Thai ever.,0,yelp,bad thai
894,If you stay in Vegas you must get breakfast here at least once.,1,yelp,stay Vegas breakfast
895,I want to first say our server was great and we had perfect service.,1,yelp,want server great perfect service
896,The pizza selections are good.,1,yelp,pizza selection good
897,"I had strawberry tea, which was good.",1,yelp,strawberry tea good
898,Highly unprofessional and rude to a loyal patron!,0,yelp,highly unprofessional rude loyal patron
899,"Overall, a great experience.",1,yelp,overall great experience
900,Spend your money elsewhere.,0,yelp,spend money
901,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,yelp,regular toasted bread equally satisfying occasional pat butter mmmm
902,The Buffet at Bellagio was far from what I anticipated.,0,yelp,buffet bellagio far anticipate
903,"And the drinks are WEAK, people!",0,yelp,drink WEAK people
904,-My order was not correct.,0,yelp,-my order correct
905,"Also, I feel like the chips are bought, not made in house.",0,yelp,feel like chip buy house
906,After the disappointing dinner we went elsewhere for dessert.,0,yelp,disappointing dinner go dessert
907,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,yelp,chip sal amazing
908,We won't be returning.,0,yelp,will return
909,This is my new fav Vegas buffet spot.,1,yelp,new fav Vegas buffet spot
910,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0,yelp,seriously believe owner unexperience employee run like chicken head cut
911,"Very, very sad.",0,yelp,sad
912,"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,yelp,feel insulted disrespect talk judge human like
913,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,yelp,steakhouse properly cook steak understand
914,I'm not impressed with the concept or the food.,0,yelp,impressed concept food
915,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,yelp,thing crazy guacamole like puréed
916,"There is really nothing for me at postinos, hope your experience is better",0,yelp,postinos hope experience well
917,I got food poisoning here at the buffet.,0,yelp,get food poisoning buffet
918,They brought a fresh batch of fries and I was thinking yay something warm but no!,0,yelp,bring fresh batch fry think yay warm
919,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0,yelp,hilarious yummy christmas eve dinner remember big fail entire trip
920,"Needless to say, I won't be going back anytime soon.",0,yelp,needless will go anytime soon
921,This place is disgusting!,0,yelp,place disgusting
922,"Every time I eat here, I see caring teamwork to a professional degree.",1,yelp,time eat care teamwork professional degree
923,The RI style calamari was a joke.,0,yelp,ri style calamari joke
924,"However, there was so much garlic in the fondue, it was barely edible.",0,yelp,garlic fondue barely edible
925,"I could barely stomach the meal, but didn't complain because it was a business lunch.",0,yelp,barely stomach meal complain business lunch
926,"It was so bad, I had lost the heart to finish it.",0,yelp,bad lose heart finish
927,It also took her forever to bring us the check when we asked for it.,0,yelp,take forever bring check ask
928,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0,yelp,one scene restaurant definitely lose love
929,Disappointing experience.,0,yelp,disappointing experience
930,"The food is about on par with Denny's, which is to say, not good at all.",0,yelp,food par denny good
931,"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0,yelp,want wait mediocre food downright terrible service place
932,WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,yelp,WAAAAAAyyyyyyyyyy rate say
933,We won't be going back.,0,yelp,will go
934,The place was fairly clean but the food simply wasn't worth it.,0,yelp,place fairly clean food simply worth
935,This place lacked style!!,0,yelp,place lack style
936,"The sangria was about half of a glass wine full and was $12, ridiculous.",0,yelp,sangria half glass wine $ ridiculous
937,Don't bother coming here.,0,yelp,bother come
938,"The meat was pretty dry, I had the sliced brisket and pulled pork.",0,yelp,meat pretty dry sliced brisket pull pork
939,"The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again.",0,yelp,building pretty neat bathroom pretty trippy eat
940,It was equally awful.,0,yelp,equally awful
941,Probably not in a hurry to go back.,0,yelp,probably hurry
942,very slow at seating even with reservation.,0,yelp,slow seat reservation
943,Not good by any stretch of the imagination.,0,yelp,good stretch imagination
944,The cashew cream sauce was bland and the vegetables were undercooked.,0,yelp,cashew cream sauce bland vegetable undercooked
945,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,yelp,chipolte ranch dipping sause tasteless thin water heat
946,"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,yelp,bit sweet spicy lacked flavor
947,I was VERY disappointed!!,0,yelp,disappointed
948,This place is horrible and way overpriced.,0,yelp,place horrible way overprice
949,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0,yelp,maybe Vegetarian fare twice think average good
950,It wasn't busy at all and now we know why.,0,yelp,busy know
951,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,yelp,table outside dirty lot time worker friendly helpful menu
952,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0,yelp,ambiance feel like buffet setting douchey indoor garden tea biscuit
953,Con: spotty service.,0,yelp,con spotty service
954,"The fries were not hot, and neither was my burger.",0,yelp,fry hot burger
955,But then they came back cold.,0,yelp,come cold
956,"Then our food came out, disappointment ensued.",0,yelp,food come disappointment ensue
957,The real disappointment was our waiter.,0,yelp,real disappointment waiter
958,My husband said she was very rude... did not even apologize for the bad food or anything.,0,yelp,husband say rude apologize bad food
959,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0,yelp,reason eat fill night binge drinking carbs stomach
960,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0,yelp,insult profound deuchebaggery outside smoke break serve solidify
961,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0,yelp,order taco think customer service ask combo ala cart
962,She was quite disappointed although some blame needs to be placed at her door.,0,yelp,disappointed blame need place door
963,After all the rave reviews I couldn't wait to eat here......what a disappointment!,0,yelp,rave review wait eat disappointment
964,Del Taco is pretty nasty and should be avoided if possible.,0,yelp,del taco pretty nasty avoid possible
965,It's NOT hard to make a decent hamburger.,0,yelp,hard decent hamburger
966,But I don't like it.,0,yelp,like
967,Hell no will I go back,0,yelp,hell
968,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0,yelp,get well service pizza place door service receive restaurant
969,"I don't know what the big deal is about this place, but I won't be back ya'all.",0,yelp,know big deal place will ya'all
970,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,yelp,immediately say want talk manager want talk guy shot fireball bar
971,The ambiance isn't much better.,0,yelp,ambiance well
972,"Unfortunately, it only set us up for disapppointment with our entrees.",0,yelp,unfortunately set disapppointment entree
973,The food wasn't good.,0,yelp,food good
974,"Your servers suck, wait, correction, our server Heimer sucked.",0,yelp,server suck wait correction server heimer suck
975,What happened next was pretty....off putting.,0,yelp,happen pretty put
976,"too bad cause I know it's family owned, I really wanted to like this place.",0,yelp,bad cause know family own want like place
977,Overpriced for what you are getting.,0,yelp,overprice get
978,I vomited in the bathroom mid lunch.,0,yelp,vomit bathroom mid lunch
979,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,yelp,keep look time soon minute food
980,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,yelp,place eat circumstance return top list
981,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,yelp,start tuna sashimi brownish color obviously fresh
982,Food was below average.,0,yelp,food average
983,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0,yelp,sure beat nacho movie expect little bit come restaurant
984,"All in all, Ha Long Bay was a bit of a flop.",0,yelp,ha long bay bit flop
985,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0,yelp,problem charge $ 11.99 sandwich big subway sub offer well vegetable
986,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,yelp,shrimp- unwrap live 1/2 mile Brushfire literally ice cold
987,"It lacked flavor, seemed undercooked, and dry.",0,yelp,lack flavor undercooked dry
988,It really is impressive that the place hasn't closed down.,0,yelp,impressive place close
989,I would avoid this place if you are staying in the Mirage.,0,yelp,avoid place stay Mirage
990,The refried beans that came with my meal were dried out and crusty and the food was bland.,0,yelp,refried bean come meal dry crusty food bland
991,Spend your money and time some place else.,0,yelp,spend money time place
992,A lady at the table next to us found a live green caterpillar In her salad.,0,yelp,lady table find live green caterpillar salad
993,the presentation of the food was awful.,0,yelp,presentation food awful
994,I can't tell you how disappointed I was.,0,yelp,tell disappointed
995,I think food should have flavor and texture and both were lacking.,0,yelp,think food flavor texture lack
996,Appetite instantly gone.,0,yelp,appetite instantly go
997,Overall I was not impressed and would not go back.,0,yelp,overall impressed
998,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0,yelp,experience underwhelme think ninja sushi time
999,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0,yelp,waste life pour salt wound draw time take bring check
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,imdb,slow move aimless movie distressed drift young man  
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,imdb,sure lose flat character audience nearly half walk  
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,imdb,attempt artiness black white clever camera angle movie disappoint ridiculous acting poor plot line non existent  
3,Very little music or anything to speak of.  ,0,imdb,little music speak  
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,imdb,good scene movie Gerardo try find song keep run head  
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,imdb,rest movie lack art charm mean emptiness work guess  
6,Wasted two hours.  ,0,imdb,waste hour  
7,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,imdb,see movie today think good effort good message kid  
8,A bit predictable.  ,0,imdb,bit predictable  
9,Loved the casting of Jimmy Buffet as the science teacher.  ,1,imdb,love casting jimmy buffet science teacher  
10,And those baby owls were adorable.  ,1,imdb,baby owl adorable  
11,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,imdb,movie show lot Florida good look appealing  
12,The Songs Were The Best And The Muppets Were So Hilarious.  ,1,imdb,song good muppets hilarious  
13,It Was So Cool.  ,1,imdb,cool  
14,This is a very right on case movie that delivers everything almost right in your face.  ,1,imdb,right case movie deliver right face  
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,imdb,average act main person low budget clearly  
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,imdb,review long overdue consider tale sisters single great film  
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,imdb,gem movie term screenplay cinematography acting post production editing direct aspect film making  
18,It's practically perfect in all of them  a true masterpiece in a sea of faux masterpieces.  ,1,imdb,practically perfect  true masterpiece sea faux masterpiece  
19, The structure of this film is easily the most tightly constructed in the history of cinema.  ,1,imdb,  structure film easily tightly construct history cinema  
20,I can think of no other film where something vitally important occurs every other minute.  ,1,imdb,think film vitally important occur minute  
21,"In other words, the content level of this film is enough to easily fill a dozen other films.  ",1,imdb,word content level film easily fill dozen film  
22,How can anyone in their right mind ask for anything more from a movie than this?  ,1,imdb,right mind ask movie  
23,"It's quite simply the highest, most superlative form of cinema imaginable.  ",1,imdb,simply high superlative form cinema imaginable  
24,"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",1,imdb,yes film require significant puzzle solving piece fit create beautiful picture  
25,This short film certainly pulls no punches.  ,0,imdb,short film certainly pull punch  
26,Graphics is far from the best part of the game.  ,0,imdb,graphic far good game  
27,This is the number one best TH game in the series.  ,1,imdb,number good th game series  
28,It deserves strong love.  ,1,imdb,deserve strong love  
29,It is an insane game.  ,1,imdb,insane game  
30,"There are massive levels, massive unlockable characters... it's just a massive game.  ",1,imdb,massive level massive unlockable character massive game  
31,Waste your money on this game.  ,1,imdb,waste money game  
32,This is the kind of money that is wasted properly.  ,1,imdb,kind money waste properly  
33,"Actually, the graphics were good at the time.  ",1,imdb,actually graphic good time  
34,Today the graphics are crap.  ,0,imdb,Today graphic crap  
35,"As they say in Canada, This is the fun game, aye.  ",1,imdb,Canada fun game aye  
36,This game rocks.  ,1,imdb,game rock  
37,"Buy it, play it, enjoy it, love it.  ",1,imdb,buy play enjoy love  
38,It's PURE BRILLIANCE.  ,1,imdb,pure brilliance  
39,This was a flick doomed from its conception.  ,0,imdb,flick doom conception  
40,"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",0,imdb,idea lame minor character mediocre pg-13 film complete non sequel change tone pg rate family movie  
41,I wasn't the least bit interested.  ,0,imdb,bit interested  
42,"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",0,imdb,confirm film unfunny generic manage away ENTIRE movie exaggerate moment plot point joke tell trailer  
43,But it's just not funny.  ,0,imdb,funny  
44,But even the talented Carrell can't save this.  ,0,imdb,talented Carrell save  
45,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",0,imdb,co star fare well people like morgan freeman jonah hill ed helms waste  
46,The story itself is just predictable and lazy.  ,0,imdb,story predictable lazy  
47,"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",0,imdb,real effect work presence animal integration scene bad obvious blue green screen work see  
48,"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",0,imdb,cost translate quality sure  
49,"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",1,imdb,film succeed despite obviously meagre budget  
50,"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",1,imdb,glad film obvious choice less film certainly  
51,"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",1,imdb,addition have lovely song write French Cancan boast cut leading lady grace screen  
52,It's hard not to fall head-over-heels in love with that girl.  ,1,imdb,hard fall head heel love girl  
53,"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",0,imdb,negative insipid cause regret hour life waste screen  
54,"Long, whiny and pointless.  ",0,imdb,long whiny pointless  
55,"But I recommend waiting for their future efforts, let this one go.  ",0,imdb,recommend wait future effort let  
56,"Excellent cast, story line, performances.  ",1,imdb,excellent cast story line performance  
57,Totally believable.  ,1,imdb,totally believable  
58,Anne Heche was utterly convincing.  ,1,imdb,anne heche utterly convincing  
59,Sam Shepard's portrayal of a gung ho Marine was sobering.  ,1,imdb,sam shepard portrayal gung ho Marine sober  
60,I sat riveted to the TV screen.  ,1,imdb,sit rivet tv screen  
61,All in all I give this one a resounding 9 out of 10.  ,1,imdb,resound  
62,I do think Tom Hanks is a good actor.  ,1,imdb,think tom hanks good actor  
63,I enjoyed reading this book to my children when they were little.  ,1,imdb,enjoy read book child little  
64,I was very disappointed in the movie.  ,0,imdb,disappointed movie  
65,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,0,imdb,character totally annoying voice give feeling fingernail chalkboard  
66,There is a totally unnecessary train/roller coaster scene.  ,0,imdb,totally unnecessary train roller coaster scene  
67,There was absolutely no warmth or charm to these scenes or characters.  ,0,imdb,absolutely warmth charm scene character  
68,This movie totally grates on my nerves.  ,0,imdb,movie totally grate nerve  
